"Deutsch","Türkisch","Fach","Richtig","Falsch","Erstellt am","Zuletzt gelernt","Nächste Wiederholung"
"Stunde","saat","1","0","0","2026-04-06","","2026-04-06"
"Tag","gün","1","0","0","2026-04-06","","2026-04-06"
"Tasche","çanta","1","0","0","2026-04-06","","2026-04-06"
"Tee","çay","1","0","0","2026-04-06","","2026-04-06"
"Teppich","halı","1","0","0","2026-04-06","","2026-04-06"
"teuer","pahalı","1","0","0","2026-04-06","","2026-04-06"
"Tisch","masa","1","0","0","2026-04-06","","2026-04-06"
"traurig","üzgün","1","0","0","2026-04-06","","2026-04-06"
"trinken","içmek","1","0","0","2026-04-06","","2026-04-06"
"Tür","kapı","1","0","0","2026-04-06","","2026-04-06"
"Uhr","saat","1","0","0","2026-04-06","","2026-04-06"
"und","ve","1","0","0","2026-04-06","","2026-04-06"
"Urlaub / Ferien","tatil","1","0","0","2026-04-06","","2026-04-06"
"Vater","baba","1","0","0","2026-04-06","","2026-04-06"
"verheiratet","evli","1","0","0","2026-04-06","","2026-04-06"
"verkaufen","satmak","1","0","0","2026-04-06","","2026-04-06"
"verlieren","kaybetmek","1","0","0","2026-04-06","","2026-04-06"
"vermissen","özlemek","1","0","0","2026-04-06","","2026-04-06"
"verstehen","anlamak","1","0","0","2026-04-05","","2026-04-05"
"von wem","kimden","1","0","0","2026-04-06","","2026-04-06"
"vor / vorher / zuerst","önce","1","0","0","2026-04-06","","2026-04-06"
"vorstellen","tanıştırmak","1","0","0","2026-04-05","","2026-04-05"
"wann","ne zaman","1","0","0","2026-04-06","","2026-04-06"
"warm","ılık","1","0","0","2026-04-06","","2026-04-06"
"warten","beklemek","1","0","0","2026-04-06","","2026-04-06"
"warum","neden","1","0","0","2026-04-06","","2026-04-06"
"was","ne","1","0","0","2026-04-06","","2026-04-06"
"was / welche Dinge","ne / neler","1","0","0","2026-04-06","","2026-04-06"
"was ist das? wer ist er/sie?","bu ne? o kim?","1","0","0","2026-04-06","","2026-04-06"
"was? (Akk.)","neyi","1","0","0","2026-04-06","","2026-04-06"
"Wasser","su","1","0","0","2026-04-06","","2026-04-06"
"weil","çünkü","1","0","0","2026-04-06","","2026-04-06"
"weiß","beyaz","1","0","0","2026-04-06","","2026-04-06"
"welcher / welche / welches","hangi","1","0","0","2026-04-06","","2026-04-06"
"wer","kim","1","0","0","2026-04-06","","2026-04-06"
"Wetter / Luft","hava","1","0","0","2026-04-06","","2026-04-06"
"wie","nasıl","1","0","0","2026-04-06","","2026-04-06"
"wie viel","ne kadar","1","0","0","2026-04-06","","2026-04-06"
"wie viele","kaç","1","0","0","2026-04-06","","2026-04-06"
"wir","biz","1","0","0","2026-04-06","","2026-04-06"
"wissen","bilmek","1","0","0","2026-04-05","","2026-04-05"
"wo","nerede","1","0","0","2026-04-06","","2026-04-06"
"Woche","hafta","1","0","0","2026-04-06","","2026-04-06"
"Wochenende","hafta sonu","1","0","0","2026-04-06","","2026-04-06"
"woher","nereden","1","0","0","2026-04-06","","2026-04-06"
"woher kommst du?","nerelisin","1","0","0","2026-04-06","","2026-04-06"
"wohin","nereye","1","0","0","2026-04-06","","2026-04-06"
"Wohnung","daire","1","0","0","2026-04-06","","2026-04-06"
"wollen","istemek","2","1","0","2026-04-05","","2026-04-05"
"Wort","kelime","1","0","0","2026-04-06","","2026-04-06"
"yürümek","gehen","1","0","0","2026-04-05","","2026-04-05"
"Zeit","zaman","1","0","0","2026-04-06","","2026-04-06"
"zerstören","yıkmak","1","0","0","2026-04-06","","2026-04-06"
"Zimmer","oda","1","0","0","2026-04-06","","2026-04-06"
"Zug","tren","1","0","0","2026-04-06","","2026-04-06"
"Zwiebel","soğan","1","0","0","2026-04-06","","2026-04-06"
"öffnen","açmak","1","0","0","2026-04-06","","2026-04-06"
"Öl","yağ","1","0","0","2026-04-06","","2026-04-06"
